ExitTime,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,Tag,Duration,equity
2023-09-14 10:30:00,-2,4151,4161,15332.740234375,15382.2783203125,-99.076171875,-0.0032308697062797265,2023-09-12 14:30:00,,1 days 20:00:00,608081.837890625
2023-09-15 13:30:00,77,4161,4171,15382.2783203125,15195.205078125,-14404.6396484375,-0.012161608202113205,2023-09-14 10:30:00,,1 days 03:00:00,593677.1982421875
2023-10-04 12:30:00,-81,4195,4261,14817.392578125,14731.1806640625,6983.1650390625,0.005818291822123678,2023-09-21 09:30:00,,13 days 03:00:00,600660.36328125
2023-10-12 14:30:00,79,4302,4305,15292.24609375,15135.626953125,-12372.912109375,-0.010241735560939658,2023-10-12 11:30:00,,0 days 03:00:00,588287.451171875
2023-10-17 09:30:00,78,4319,4321,15179.6630859375,14944.078125,-18375.626953125,-0.015519775347039633,2023-10-16 14:30:00,,0 days 19:00:00,569911.82421875
2023-10-17 12:30:00,-73,4322,4324,15062.6962890625,15185.607421875,-8972.5126953125,-0.008159968869700274,2023-10-17 10:30:00,,0 days 02:00:00,560939.3115234375
2023-11-10 13:30:00,-3,4322,4451,15062.6962890625,15467.3505859375,-1213.962890625,-0.02686466546954369,2023-10-17 10:30:00,,24 days 03:00:00,559725.3486328125
2023-11-20 12:30:00,70,4451,4492,15467.3505859375,15994.4150390625,36894.51171875,0.03407593628893313,2023-11-10 13:30:00,,9 days 23:00:00,596619.8603515625
2023-11-30 09:30:00,75,4506,4534,16041.8095703125,15896.1806640625,-10922.16796875,-0.00907808471430216,2023-11-22 12:30:00,,7 days 21:00:00,585697.6923828125
2023-11-30 10:30:00,75,4492,4535,15961.0966796875,15851.7431640625,-8201.513671875,-0.006851253257814438,2023-11-20 12:30:00,,9 days 22:00:00,577496.1787109375
2023-12-04 10:30:00,73,4544,4549,15982.7568359375,15724.5146484375,-18851.6796875,-0.016157549673742055,2023-12-01 12:30:00,,2 days 22:00:00,558644.4990234375
2023-12-04 10:30:00,73,4462,4549,15815.1904296875,15724.5146484375,-6619.33203125,-0.005733461234825765,2023-11-14 10:30:00,,20 days 00:00:00,552025.1669921875
2023-12-07 09:30:00,-70,4569,4569,15890.2158203125,15944.9208984375,-3829.35546875,-0.0034426894350338966,2023-12-07 09:30:00,,0 days 00:00:00,548195.8115234375
2023-12-20 14:30:00,70,4624,4637,16761.705078125,16669.33203125,-6466.11328125,-0.0055109576528435955,2023-12-18 15:30:00,,1 days 23:00:00,541729.6982421875
2023-12-28 09:30:00,70,4613,4667,16666.12890625,16967.849609375,21120.44921875,0.018103826318771166,2023-12-15 11:30:00,,12 days 22:00:00,562850.1474609375
2024-01-02 09:30:00,70,4648,4681,16800.720703125,16562.814453125,-16653.4375,-0.014160478839205348,2023-12-22 11:30:00,,10 days 22:00:00,546196.7099609375
2024-01-17 09:30:00,71,4737,4751,16852.35546875,16648.923828125,-14443.646484375,-0.012071406931940865,2024-01-12 09:30:00,,5 days 00:00:00,531753.0634765625
2024-01-22 09:30:00,69,4570,4772,15974.2109375,17437.052734375,100936.083984375,0.09157521473820851,2023-12-07 10:30:00,,45 days 23:00:00,632689.1474609375
2024-01-24 09:30:00,69,4760,4786,16958.1875,17557.82421875,41374.93359375,0.03535971746685784,2024-01-18 11:30:00,,5 days 22:00:00,674064.0810546875
2024-01-26 14:30:00,77,4787,4805,17592.044921875,17416.11328125,-13546.736328125,-0.01000063616289637,2024-01-24 10:30:00,,2 days 04:00:00,660517.3447265625
